Show,Season,Name,Age,Hometown,Job,Eliminated
The Bachelor,24,Avonlea Elkins,27,"Fort Worth, Texas",Cattle Rancher,Week 1
The Bachelor,24,Eunice Cho,23,"Chicago, Illinois",Flight Attendant,Week 1
The Bachelor,24,Jade Gilliland,26,"Mesa, Arizona",Flight Attendant,Week 1
The Bachelor,24,Jenna Serrano,22,"New Lenox, Illinois",Nursing Student,Week 1
The Bachelor,24,Katrina Badowski,28,"St. Charles, Illinois",Pro NBA Dancer,Week 1
The Bachelor,24,Kylie Ramos,26,"Davis, California",Entertainment Sales Associate,Week 1
The Bachelor,24,Maurissa Gunn,23,"Laurel, Montana",Patient Care Coordinator,Week 1
The Bachelor,24,Megan Hops,26,"San Bruno, California",Flight Attendant,Week 1
The Bachelorette,1,Ryan Sutter,28,"Vail, Colorado",Firefighter,Winner
The Bachelorette,1,Charlie Maher,28,"Hermosa Beach, California",Financial Analyst,Runner-up
The Bachelorette,1,Russell Woods,31,"San Rafael, California",Writer,Week 5
The Bachelorette,1,Greg T.,28,"Manhattan, New York",Importer,Week 4
The Bachelorette,1,Bob Guiney,31,"Ferndale, Michigan",Mortgage Broker,Week 3
The Bachelorette,1,Jamie Blyth,27,"Chicago, Illinois",Professional Basketball Player,Week 3
The Bachelorette,1,Mike,24,"Cincinnati, Ohio",Sales and Consulting,Week 3
The Bachelorette,1,Rob,29,"Dallas, Texas",Computer Programmer,Week 3
The Bachelorette,1,Brian C.,28,"Dallas, Texas",Mortgage Broker,Week 2
The Bachelorette,1,Brian S.,28,"Dallas, Texas",Sales Engineer,Week 2
The Bachelorette,1,Brook,29,"Dallas, Texas",Rodeo Cowboy,Week 2
The Bachelorette,1,Jack,27,"Pepper Pike, Ohio",Firefighter,Week 2
The Bachelorette,1,Jeff,25,"San Diego, California",Professional Football Player,Week 2
The Bachelorette,1,Josh,31,"Boca Raton, Florida",Radio Advertising Executive,Week 2
The Bachelorette,1,Brian H.,30,"Cleveland, Ohio",National Sales Manager,Week 2 (Quit)
The Bachelorette,1,Billy,28,"Hermosa Beach, California",Firefighter,Week 1
The Bachelorette,1,Brian K.,31,"San Francisco, California",Breast Implant Sales,Week 1
The Bachelorette,1,Chris,35,"Sugarloaf, Pennsylvania",V.P. of Auto Parts Company,Week 1
The Bachelorette,1,Duane,28,"Chisago City, Minnesota",Flight Instructor,Week 1
The Bachelorette,1,Eric,33,"St. Louis, Missouri",Commercial Pilot,Week 1
The Bachelorette,1,Gregg H.,34,"Freehold, New Jersey",Marble Company Owner,Week 1
The Bachelorette,1,Matt,42,"Marina Del Rey, California",Gym Owner,Week 1
The Bachelorette,1,Paul,26,"Honolulu, Hawaii",Telecommunications,Week 1
The Bachelorette,1,Peter,25,"Long Island, New York",Construction Business Owner,Week 1
The Bachelorette,1,Wayne,37,"Sacramento, California",Commercial Pilot,Week 1
The Bachelorette,2,Ian McKee,29,"New York, New York",Equity Research Sales,Winner
The Bachelorette,2,Matthew Hickl,28,"Friendswood, Texas",Pharmaceutical Sales Rep,Episode 8
The Bachelorette,2,Chad,31,"Buffalo, New York",Pharmaceutical Sales Rep,Episode 6
The Bachelorette,2,Lanny Lawrence,26,"Aubrey, Texas",Stallion and Breeding Manager,Episode 5
The Bachelorette,2,Brad,29,"Grand Rapids, Michigan",Pharmaceutical Sales Rep,Episode 4
The Bachelorette,2,Ryan M.,30,"Santa Barbara, California",Financial Advisor,Episode 4
The Bachelorette,2,Sean,31,"Wall, New Jersey",Certified Public Accountant,Episode 4
The Bachelorette,2,Rick,29,"San Diego, California",Business Manager,Episode 3
The Bachelorette,2,Ryan R.,29,"Wynola, California",Sales/Marketing,Episode 3
The Bachelorette,2,Todd,36,"San Francisco, California",Options Trader,Episode 3
The Bachelorette,2,Damon,28,"Cardiff, California",Arena Football Player,Episode 2
The Bachelorette,2,Eliot,25,"Mountain View, California",Options Trader,Episode 2
The Bachelorette,2,Harold Hersh,29,"Rock Island, Illinois",Professional Hockey Player,Episode 2
The Bachelorette,2,Marcus,26,"Los Angeles, California",Personal Trainer,Episode 2
The Bachelorette,2,Robert,32,"El Segundo, California",Alliance Development,Episode 2
The Bachelorette,2,Aaron,32,"Sacramento, California",Title and Escrow Sales,Episode 1
The Bachelorette,2,Andy Chang,33,"Dallas, Texas",Dentist,Episode 1
The Bachelorette,2,Anselm Clinard,32,"Venice, California",Art Designer,Episode 1
The Bachelorette,2,Brian,31,"Quincy, Massachusetts",Attorney,Episode 1
The Bachelorette,2,Chris,31,"Boston, Massachusetts",Accountant,Episode 1
The Bachelorette,2,Cory Higgins,24,"Long Beach Island, New Jersey",Small Business Owner,Episode 1
The Bachelorette,2,Jeff O'Quinn,30,"Macon, Georgia",Pharmaceutical Sales Rep,Episode 1
The Bachelorette,2,Justin,25,"Orlando, Florida",Professional Baseball Player,Episode 1
The Bachelorette,2,Keith,31,"Baltimore, Maryland",Financial Analyst,Episode 1
The Bachelorette,2,Trever,35,"North Wales, Pennsylvania",Restaurateur,Episode 1
The Bachelorette,3,Jerry Ferris,29,"Los Angeles, California",Art Gallery Director,Winner
The Bachelorette,3,John Paul Merritt,25,"Oklahoma City, Oklahoma",Entrepreneur,Episode 8
The Bachelorette,3,Ryan Sh.,28,"Manhattan Beach, California",Teacher,Episode 6
The Bachelorette,3,Wendell,32,"Chicago, Illinois",Entrepreneur,Episode 5
The Bachelorette,3,Fabrice Le Parc,25,"New York City, New York","Entrepreneur, Investor",Episode 4
The Bachelorette,3,Ben,26,"Aspen, Colorado",Ski Instructor,Episode 4
The Bachelorette,3,Josh Cox,28,"Murrieta, California",Professional Marathoner,Episode 3
The Bachelorette,3,Keith,28,"Encinitas, California",Welder,Episode 3
The Bachelorette,3,A.W.,27,"Newport Beach, California",Mortgage Consultant,Episode 2
The Bachelorette,3,Jason,29,"Fort Worth, Texas",Motivational Speaker,Episode 2
The Bachelorette,3,Mark,30,"Carlsbad, California",Commercial Finance,Episode 2
The Bachelorette,3,Matt M.,32,"Staten Island, New York",Firefighter,Episode 2
The Bachelorette,3,Michael Foster,31,"Monroe, Michigan",Teacher,Episode 2
The Bachelorette,3,Ryan Sm.,34,"New York City, New York",Lawyer,Episode 2
The Bachelorette,3,Stu,27,"New York City, New York",Lawyer,Episode 2
The Bachelorette,3,Andrew,37,"New York City, New York",Bartender,Episode 1
The Bachelorette,3,Andy LeRoy,29,"Steamboat Springs, Colorado",Ski Coach,Episode 1
The Bachelorette,3,Chris C.,27,"Campton, Kentucky",Hairdresser,Episode 1
The Bachelorette,3,Chris M.,33,"Cleveland, Ohio",Sports Agent,Episode 1
The Bachelorette,3,Collin,27,"Austin, Texas",Sports Agent,Episode 1
The Bachelorette,3,David,30,"Chicago, Illinois",Marketing Consultant,Episode 1
The Bachelorette,3,Eric H.,35,"New York City, New York",Magazine Editor,Episode 1
The Bachelorette,3,Eric T.,37,"San Diego, California",Firefighter,Episode 1
The Bachelorette,3,Kevin,26,"New York City, New York",Consultant,Episode 1
The Bachelorette,3,Matt L.,33,"Manhattan Beach, California",Lawyer,Episode 1
The Bachelorette,4,Jesse Csincsak,26,"Breckenridge, Colorado",Professional snowboarder,Winner
The Bachelorette,4,Jason Mesnick,31,"Cleveland, Ohio",Account executive,Runner-up
The Bachelorette,4,Jeremy Anderson,30,"Dallas, Texas",Real estate attorney,Week 7
The Bachelorette,4,Graham Bunn,29,"Raleigh, North Carolina",Professional basketball player,Week 6
The Bachelorette,4,Sean Ramey,33,"Louisville, Kentucky",Martial artist,Week 5
The Bachelorette,4,Blaine Twilley,33,"Tulsa, Oklahoma",Debt manager,Week 5
The Bachelorette,4,Brian Westendorf,31,"Balch Springs, Texas",High school football coach,Week 4
The Bachelorette,4,"Frederick ""Fred"" Greif",30,"Skokie, Illinois",Lawyer,Week 4
The Bachelorette,4,Robert Fair,28,"San Francisco, California",Chef,Week 4
The Bachelorette,4,Paul Brosseau,23,"Bonnyville, Alberta",Sales manager,Week 3
The Bachelorette,4,Ronald Mayer,36,"Greeley, Colorado",Barber shop owner,Week 3
The Bachelorette,4,Richard Mathy,27,"Sauquoit, New York",Science teacher,Week 3
The Bachelorette,4,"Christopher ""Chris"" Bradshaw",29,"Fort Worth, Texas",Medical sales rep.,Week 2
The Bachelorette,4,Eric Papachristos,32,"Boston, Massachusetts",Senior analyst,Week 2
The Bachelorette,4,Ryan Hoag,28,"Minneapolis, Minnesota",Professional football player,Week 2
The Bachelorette,4,Brian Winchester,29,"New Castle, Indiana",Computer network consultant,Week 1
The Bachelorette,4,Chandler Fulton,25,"Virginia Beach, Virginia",Insurance rep.,Week 1
The Bachelorette,4,Donato Capodanno,26,"Lexington, South Carolina",Sales rep.,Week 1
The Bachelorette,4,"Gregory ""Greg"" Matthew",28,"Rockport, Massachusetts",Personal trainer,Week 1
The Bachelorette,4,Jeffrey Harris,27,"Miami, Florida",Mathematics teacher,Week 1
The Bachelorette,4,"Jonathan ""Jon"" Konkel",35,"Williston, North Dakota",Resort manager,Week 1
The Bachelorette,4,Luke Hamilton,27,"Faith, North Carolina",Oyster farmer,Week 1
The Bachelorette,4,Patrick Carlson,26,"Glenwood, Illinois",Financial analyst,Week 1
The Bachelorette,4,Patrick Durrere,27,"Elmhurst, Illinois",Internet marketing,Week 1
The Bachelorette,4,Spero Stamboulis,38,"Ellington, Connecticut",Actor,Week 1
The Bachelorette,5,"Edward ""Ed"" Swiderski",29,"Monroe, Michigan",Technology Consultant,Winner
The Bachelorette,5,Kiptyn Locke,31,"Encinitas, California",Business Developer,Runner-up
The Bachelorette,5,Reid Rosenthal,30,"Upper Dublin, Pennsylvania",Realtor,Week 9
The Bachelorette,5,"Wesley ""Wes"" Hayden",32,"Huntsville, Texas",Musician,Week 8
The Bachelorette,5,Jesse Kovacs,27,"Carmel Valley, California",Wine Maker,Week 7
The Bachelorette,5,Michael Stagliano,25,"Tacoma, Washington",Break Dance Instructor,Week 7
The Bachelorette,5,"Jacob ""Jake"" Pavelka",31,"Denton, Texas",Commercial Pilot,Week 6
The Bachelorette,5,Tanner Pope,30,"Brownfield, Texas",Financial Analyst,Week 6
The Bachelorette,5,"Robert ""Robby"" Descant",25,"Spring, Texas",Bartender,Week 6
The Bachelorette,5,"Marcus ""Mark"" Huebner",26,"Woodstock, Illinois",Pizza Entrepreneur,Week 5
The Bachelorette,5,David Good,27,"West Alexandria, Ohio",Trucking Contractor,Week 4
The Bachelorette,5,Juan Barbieri,35,"Buenos Aires, Argentina",General Contractor,Week 4
The Bachelorette,5,"Michael ""Mike"" Steinberg",28,"New York, New York",Baseball Camp Owner,Week 4
The Bachelorette,5,"Bradley ""Brad"" Seberhagen",27,"Park Ridge, Illinois",Financial Advisor,Week 3
The Bachelorette,5,Tanner Fanello,28,"Derby, Kansas",Sales Representative,Week 3
The Bachelorette,5,"Alexander ""Sasha"" Petrovic",27,"Houston, Texas",Oil & Gas Consultant,Week 3
The Bachelorette,5,Brian Duke,32,"Birmingham, Alabama",IT Consultant,Week 2
The Bachelorette,5,Julien Hug,34,"San Diego, California",Restaurateur,Week 2
The Bachelorette,5,Mathue Johnson,25,"Andover, Kansas",Personal Trainer,Week 2
The Bachelorette,5,Simon Ambrose,26,"Bradford, England",Soccer Coach,Week 2
The Bachelorette,5,Adam Duvendeck,27,"Santa Barbara, California",Olympic Cyclist,Week 1
The Bachelorette,5,Bryan Vaderman,28,"Lawton, Oklahoma",High School Coach,Week 1
The Bachelorette,5,Bryce Harlow,31,"Fort Lauderdale, Florida",Furniture Dealer,Week 1
The Bachelorette,5,Caleb Kuhl,27,"Kansas City, Missouri",Photographer,Week 1
The Bachelorette,5,"Gregory ""Greg"" Bilbro",31,"Albuquerque, New Mexico",Entrepreneur,Week 1
The Bachelorette,5,John Hardesty,27,"Boise, Idaho",Branding Consultant,Week 1
The Bachelorette,5,John Presser,29,"Fort Wayne, Indiana",Marketing Specialist,Week 1
The Bachelorette,5,"Joshua ""Josh"" Yocam",25,"Tustin, California",Lifeguard,Week 1
The Bachelorette,5,Kyle Yauch,26,"Austin, Texas",Graphic Designer,Week 1
The Bachelorette,5,Stephen Reich,30,"Lexington, Massachusetts",Lawyer,Week 1
The Bachelorette,6,Roberto Martinez,26,"Tampa, Florida",Insurance Agent,Winner
The Bachelorette,6,Chris Lambton,33,"Dennis, Massachusetts",Landscaper,Runner-up
The Bachelorette,6,Frank Neuschaefer,31,"Bartlett, Illinois",Retail Manager,Week 9
The Bachelorette,6,Kirk DeWindt,27,"Green Bay, Wisconsin",Sales Consultant,Week 8
The Bachelorette,6,"Tyrone ""Ty"" Brown",31,"Booneville, Mississippi",Medical Sales,Week 7
The Bachelorette,6,Craig Robinson,27,"Langhorne, Pennsylvania",Lawyer,Week 6
The Bachelorette,6,Justin Rego,26,"Toronto, Ontario",Entertainment Wrestler,Week 6
The Bachelorette,6,Chris Nordhorn,29,"Winter Park, Florida",Entrepreneur,Week 5
The Bachelorette,6,Kasey Kahl,27,"Fresno, California",Advertising Account Executive,Week 5
The Bachelorette,6,Jesse Beck,24,"Peculiar, Missouri",General Contractor,Week 4
The Bachelorette,6,Jonathan Novack,30,"Boston, Massachusetts",Weatherman,Week 4
The Bachelorette,6,John Crivello,32,"Mukilteo, Washington",Hotel Business Development,Week 3
The Bachelorette,6,Steve Kocsis,28,"Chesterland, Ohio",Sales Representative,Week 3
The Bachelorette,6,Hunter Wagner,28,"Fair Oaks Ranch, Texas",Internet Account Executive,Week 3
The Bachelorette,6,Chris Hasek-Watt,27,"Campbell River, British Columbia",Real Estate Developer,Week 2
The Bachelorette,6,Craig McKinnon,34,"Sarnia, Ontario",Dental Sales,Week 2
The Bachelorette,6,Tyler Vermette,25,"Chelsea, Vermont",Online Advertising,Week 2
The Bachelorette,6,Vic,22,"Arlington, Virginia",Sales Manager,Week 1
The Bachelorette,6,Derrick Schuster,27,"Manhattan Beach, California",Construction Engineer,Week 1
The Bachelorette,6,Jason Whitehead,27,"Johnson City, Tennessee",Construction Consultant,Week 1
The Bachelorette,6,"Jason ""Jay"" Resmini",29,"Barrington, Rhode Island",Lawyer,Week 1
The Bachelorette,6,John Nichols,27,"Wichita, Kansas",Engineering Software Sales,Week 1
The Bachelorette,6,Kyle Higgins,26,"Highlands Ranch, Colorado",Outdoorsman,Week 1
The Bachelorette,6,Phil Kayden,30,"Elmore, Ohio",Investment Manager,Week 1
The Bachelorette,6,Tyler Morrow,25,"Helena, Montana",Catering Manager,Week 1
The Bachelorette,7,"Jordan Paul ""J.P."" Rosenbaum",34,"Roslyn, New York",Construction Manager,Winner
The Bachelorette,7,"Benjamin ""Ben"" Flajnik",28,"Sonoma, California",Wine Maker,Runner-up
The Bachelorette,7,Constantine Tzortzis ,30,"Atlanta, Georgia",Restaurant Owner,Week 9
The Bachelorette,7,Ames Brown,31,"Chadds Ford, Pennsylvania",Portfolio Manager,Week 8
The Bachelorette,7,Lucas Daniels,30,"Odessa, Texas",Oilfield Equipment Distributor,Week 7
The Bachelorette,7,Ryan Park,31,"San Luis Obispo, California",Solar Energy Executive,Week 7
The Bachelorette,7,Blake Julian,27,"Steamboat Springs, Colorado",Dentist,Week 6
The Bachelorette,7,"Ryan ""Mickey"" McLean",31,"Rochester, New York",Chef,Week 6
The Bachelorette,7,"Nicholas ""Nick"" Peterson",26,"Odessa, Florida",Personal Trainer,Week 5
The Bachelorette,7,William Holman,30,"Fostoria, Ohio",Cellular Phone Salesman,Week 5
The Bachelorette,7,"Benjamin ""Ben"" Castoriano",28,"Lake Charles, Louisiana",Lawyer,Week 5
The Bachelorette,7,"Weston ""West"" Lee",30,"Walhalla, South Carolina",Lawyer,Week 4
The Bachelorette,7,"Christopher ""Chris"" Drish",25,"Moline, Illinois",Sports Marketing Coordinator,Week 3
The Bachelorette,7,"Jeffrey ""Jeff"" Medolla",35,"St. Louis, Missouri",Entrepreneur,Week 3
The Bachelorette,7,Bentley Williams,28,"Alpine, Utah",Businessman,Week 3
The Bachelorette,7,"Matthew ""Matt"" Colombo",28,"Bridgewater, Massachusetts",Office Supply Salesman,Week 2
The Bachelorette,7,Ryan Miller,27,"Novi, Michigan",Constructor Estimator,Week 2
The Bachelorette,7,Stephen D'Amico,27,"Portland, Connecticut",Hairstylist,Week 2
The Bachelorette,7,Anthony Santucci,28,"Saddle River, New Jersey",Butcher,Week 1
The Bachelorette,7,"Christian ""Chris"" Malhomme",27,"Gibbons, Alberta",Construction Company CEO,Week 1
The Bachelorette,7,"Francis ""Frank"" Carpenter",29,"Anchorage, Alaska",College Admissions Director,Week 1
The Bachelorette,7,"Jonathan ""Jon"" Ellsworth",26,"Vancouver, Washington",E-Commerce Executive,Week 1
The Bachelorette,7,Michael Burns,29,"Providence, Rhode Island",Technology Salesman,Week 1
The Bachelorette,7,"Robert ""Rob"" Dahm",27,"Monroe, Michigan",Technology Executive,Week 1
The Bachelorette,7,"Timothy ""Tim"" McCormack",35,"Massapequa, New York",Liquor Distributor,Week 1
The Bachelorette,8,"Jeffrey ""Jef"" Holm",27,"St. George, Utah",Entrepreneur,Winner
The Bachelorette,8,"Arie Luyendyk, Jr.",30,"Scottsdale, Arizona",Race Car Driver,Runner-up
The Bachelorette,8,Sean Lowe,28,"Irving, Texas",Insurance Agent,Week 9
The Bachelorette,8,"Christopher ""Chris"" Bukowski",25,"Chicago, Illinois",Corporate Sales Director,Week 8
The Bachelorette,8,John Wolfner,30,"Creve Coeur, Missouri",Data Destruction Specialist,Week 7
The Bachelorette,8,"Douglas ""Doug"" Clerget",33,"Tacoma, Washington",Single Dad/Real Estate Agent,Week 7
The Bachelorette,8,Ryan Bowers,31,"Evans, Georgia",Pro Sports Trainer,Week 6
The Bachelorette,8,Travis Pope,30,"Madison, Mississippi",Advertising Sales Representative,Week 6
The Bachelorette,8,Alejandro Velez,25,"San Francisco, California",Mushroom Farmer,Week 5
The Bachelorette,8,Kalon McMahon,27,"Houston, Texas",Luxury Brand Consultant,Week 5
The Bachelorette,8,"Charles ""Charlie"" Grogan",32,"Worcester, Massachusetts",Recruiter,Week 4
The Bachelorette,8,Michael Nance,26,"Austin, Texas",Rehab Counselor,Week 4
The Bachelorette,8,"Nathaniel ""Nathan"" Baake",25,"Casa Grande, Arizona",Accountant,Week 4
The Bachelorette,8,"Stephen ""Stevie"" Alberino",26,"Monroe Township, New Jersey",Party M.C.,Week 3
The Bachelorette,8,Alessandro Goulart,30,"Saint Paul, Minnesota",Grain Merchant,Week 3
The Bachelorette,8,"Anthony ""Tony"" Pieper",31,"Beaverton, Oregon",Single Dad/Lumber Trader,Week 3
The Bachelorette,8,Aaron Martell,36,"North Sydney, Nova Scotia",Biology Teacher,Week 2
The Bachelorette,8,Kyle Dillon,29,"Long Beach, California",Financial Adviser,Week 2
The Bachelorette,8,"Joseph ""Joe"" Gendreau",27,"Orlando, Florida",Field Energy Adviser,Week 2
The Bachelorette,8,Brent Richter,41,"Midland, Texas",Technology Salesman,Week 1
The Bachelorette,8,David Homyk,33,"Charlottesville, Virginia",Singer/Songwriter,Week 1
The Bachelorette,8,Jackson Longnecker,29,"Lockport, Illinois",Fitness Model,Week 1
The Bachelorette,8,Jean-Paul LaCount,35,"Moraga, California",Marine Biologist,Week 1
The Bachelorette,8,Lerone Anu,29,"Laguna Beach, California",Real Estate Consultant,Week 1
The Bachelorette,8,Randy Lee Woyak,30,"Oak Creek, Wisconsin",Marketing Manager,Week 1
The Bachelorette,9,Chris Siegfried,27,"McMinnville, Oregon",Mortgage Broker,Winner
The Bachelorette,9,Drew Kenney,27,"Scottsdale, Arizona",Digital Marketing Analyst,Runner-Up
The Bachelorette,9,Brooks Forester,28,"Blackfoot, Idaho",Sales Rep,Week 9
The Bachelorette,9,Zak Waddell,31,"Arlington, Texas",Drilling Fluid Engineer,Week 8
The Bachelorette,9,Michael Garofola,33,"Lindenhurst, New York",Federal Prosecutor,Week 7
The Bachelorette,9,James Case,27,"Marietta, Georgia",Advertising Executive,Week 6
The Bachelorette,9,Juan Pablo Galavis,31,"Barquisimeto, Venezuela",Former Pro Soccer Player,Week 6
The Bachelorette,9,Kasey Stewart,29,"Tulsa, Oklahoma",Advertising Executive,Week 6
The Bachelorette,9,Mikey Tenerelli,30,"Glen Ellyn, Illinois",Plumbing Contractor,Week 5
The Bachelorette,9,Ben Scott,28,"Lubbock, Texas",Entrepreneur,Week 5
The Bachelorette,9,Bryden Vukasin,26,"Havre, Montana",Iraq War Veteran,Week 5
The Bachelorette,9,Zack Kalter,28,"Phillips Ranch, California",Book Publisher,Week 4
The Bachelorette,9,Brad McKinzie,27,"Denver, Colorado",Accountant/DJ,Week 4
The Bachelorette,9,Brandon Andreen,26,"Blaine, Minnesota",Painting Contractor,Week 3
The Bachelorette,9,Dan Cox,30,"Dublin, California",Beverage Sales Director,Week 3
The Bachelorette,9,Brian Jarosinski,29,"Olney, Maryland",Financial Advisor,Week 3
The Bachelorette,9,Nick Mucci,27,"Rochester, New York",Investment Adviser,Week 2
The Bachelorette,9,Robert Graham,30,"Glendale, Arizona",Advertising Entrepreneur,Week 2
The Bachelorette,9,Will Reese,28,"Federal Way, Washington",Banker,Week 2
The Bachelorette,9,Diogo Custodio,29,"Penha, Brazil",Ski Resort Manager,Week 1
The Bachelorette,9,Larry Burchett,34,"Overland Park, Kansas",ER Doctor,Week 1
The Bachelorette,9,Micah Heisler,32,"Detroit Lakes, Minnesota",Law Student,Week 1
The Bachelorette,9,Mike R.,28,"London, England",Dental Student,Week 1
The Bachelorette,9,Nick Roy,26,"Ridgefield, Connecticut",Tailor/Magician,Week 1
The Bachelorette,9,Jonathan Vollinger,26,"Hickory, North Carolina",Lawyer,Week 1
The Bachelorette,10,Josh Murray,29,"Tampa, Florida",Former Professional Baseball Player,Winner
The Bachelorette,10,Nick Viall,33,"Waukesha, Wisconsin",Software Sales Executive,Runner-up
The Bachelorette,10,Chris Soules,32,"Arlington, Iowa",Farmer,Week 9
The Bachelorette,10,Marcus Grodd,25,"Medicine Hat, Alberta",Sports Medicine Manager,Week 8
The Bachelorette,10,Brian Osborne,27,"Camp Hill, Pennsylvania",Basketball Coach,Week 7
The Bachelorette,10,Dylan Petitt,26,"Longmeadow, Massachusetts",Accountant,Week 7
The Bachelorette,10,"Joseph John ""J.J."" O'Brien",30,"Hanover, Massachusetts",Pantsapreneur,Week 6
The Bachelorette,10,Cody Sattler,28,"Oakley, Kansas",Personal Trainer,Week 6
The Bachelorette,10,Andrew Poole,30,"Portola Valley, California",Social Media Marketer,Week 5
The Bachelorette,10,Marquel Martin,26,"Rialto, California",Sponsorship Salesman,Week 5
The Bachelorette,10,Patrick Jagodzinski,29,"Clinton, New Jersey",Advertising Executive,Week 5
The Bachelorette,10,Tasos Hernandez,30,"Denver, Colorado",Wedding Event Coordinator,Week 4
The Bachelorette,10,Eric Hill,31,"Citrus Heights, California",Explorer,Week 4
The Bachelorette,10,Bradley Wisk,32,"Grosse Pointe, Michigan",Opera Singer,Week 3
The Bachelorette,10,Brett Melnick,29,"Warminster, Pennsylvania",Hairstylist,Week 3
The Bachelorette,10,Ron Worrell,28,"Nahariya, Israel",Beverage Sales Manager,Week 3
The Bachelorette,10,Carl King,30,"Hollywood, California",Firefighter,Week 2
The Bachelorette,10,Craig Muhlbauer,29,"Defiance, Iowa",Tax Accountant,Week 2
The Bachelorette,10,Nick Sutter,27,"Barrington, Illinois",Professional Golfer,Week 2
The Bachelorette,10,Emil Schaffroth,33,"Portland, Oregon",Helicopter Pilot,Week 1
The Bachelorette,10,Jason Leep,35,"Sturgeon Bay, Wisconsin",Urgent Care Physician,Week 1
The Bachelorette,10,Josh Bauer,29,"Evergreen, Colorado",Telecommunication Marketer,Week 1
The Bachelorette,10,Mike Campanelli,29,"Guilderland, New York",Bartender,Week 1
The Bachelorette,10,Rudie Dane,31,"Yorba Linda, California",Attorney,Week 1
The Bachelorette,10,Steven Woolworth,30,"Meadow Vista, California",Snowboard Product Developer,Week 1
The Bachelorette,11,Shawn Booth,28,"Windsor Locks, Connecticut",Personal Trainer,Winner
The Bachelorette,11,Nick Viall,34,"Waukesha, Wisconsin",Software Sales Executive,Runner-up
The Bachelorette,11,Ben Higgins,26,"Warsaw, Indiana",Software Salesman,Week 8
The Bachelorette,11,Jared Haibon,26,"Warwick, Rhode Island",Restaurant Manager,Week 7
The Bachelorette,11,Joe Bailey,28,"Glasgow, Kentucky",Insurance Agent,Week 7
The Bachelorette,11,Chris Strandburg,28,"Granite Bay, California",Dentist,Week 7
The Bachelorette,11,Ben Zorn,26,"Falls Church, Virginia",Fitness Coach,Week 6
The Bachelorette,11,Tanner Tolbert,28,"Stilwell, Kansas",Auto Finance Manager,Week 6
The Bachelorette,11,"John ""J.J."" Lane III",32,"Dacono, Colorado",Former Investment Banker,Week 6
The Bachelorette,11,Joshua Albers,31,"Kuna, Idaho",Industrial Welder,Week 5
The Bachelorette,11,Justin Reich,28,"Elgin, Illinois",Fitness Trainer,Week 5
The Bachelorette,11,Ian Thomson,28,"Ramsey, New Jersey",Executive Recruiter,Week 5
The Bachelorette,11,Corey Stansell,30,"New York, New York",Investment Banker,Week 4
The Bachelorette,11,Jonathan Holloway,33,"Sylvan Lake, Michigan",Automotive Spokesman,Week 4
The Bachelorette,11,Ryan Beckett,32,"Wellington, Florida",Realtor,Week 4
The Bachelorette,11,Clint Arlis,27,"Batavia, Illinois",Architectural Engineer,Week 3
The Bachelorette,11,Tony Harris,35,"St. Louis, Missouri",Healer,Week 3
The Bachelorette,11,Cory Shivar,35,"Seven Springs, North Carolina",Residential Developer,Week 2
The Bachelorette,11,Daniel Finney,28,"Nashville, Tennessee",Fashion Designer,Week 2
The Bachelorette,11,Kupah James,32,"Boston, Massachusetts",Entrepreneur,Week 2
The Bachelorette,11,Bradley Cox,25,"Duluth, Georgia",International Auto Shipper,Week 1
The Bachelorette,11,David,28,"Orlando, Florida",Real Estate Agent,Week 1
The Bachelorette,11,Josh Seiter,27,"Chicago, Illinois",Law Student/Exotic Dancer,Week 1
The Bachelorette,11,Shawn Evans,31,"London, Ontario",Amateur Sex Coach,Week 1
The Bachelorette,11,Brady Toops,33,"Wauseon, Ohio",Singer/Songwriter,Week 1
The Bachelorette,11,Ryan McDill,28,"Kansas City, Missouri",Junkyard Specialist,Week 1
The Bachelorette,12,Jordan Rodgers,27,"Chico, California",Former Pro Quarterback,Winner
The Bachelorette,12,"Robert ""Robby"" Hayes",27,"St. Augustine, Florida",Former Competitive Swimmer,Runner-up
The Bachelorette,12,Chase McNary,27,"Castle Rock, Colorado",Medical Sales Rep,Week 9
The Bachelorette,12,Luke Pell,31,"Burnet, Texas",War Veteran,Week 8
The Bachelorette,12,James Taylor,29,"Denver, Colorado",Singer-Songwriter,Week 7
The Bachelorette,12,"Alexander ""Alex"" Woytkiw",25,"Oceanside, California",U.S. Marine,Week 7
The Bachelorette,12,Derek Peth,29,"Waverly, Iowa",Commercial Banker,Week 6
The Bachelorette,12,Wells Adams,31,"Monterey, California",Radio DJ,Week 6
The Bachelorette,12,Evan Bass,33,"Hartford, Connecticut",Erectile Dysfunction Specialist,Week 5
The Bachelorette,12,Grant Kemp,27,"San Francisco, California",Firefighter,Week 5
The Bachelorette,12,"Vincent ""Vinny"" Ventiera",28,"Kings Park, New York",Barber,Week 5
The Bachelorette,12,Daniel Maguire,31,"Lions Bay, British Columbia",Male Model,Week 4
The Bachelorette,12,James Fuertes,34,"Franklin, Tennessee",Boxing Club Owner,Week 4
The Bachelorette,12,"Brian ""Chad"" Johnson",28,"Jenks, Oklahoma",Luxury Real Estate Agent,Week 4
The Bachelorette,12,Ali Zahiri,27,"Santa Monica, California",Bartender,Week 3
The Bachelorette,12,Christian Bishop,26,"Los Angeles, California",Telecom Consultant,Week 3
