Show,Season,No Overall,No in Season,Title,Air Date,Prod Code,US. Viewers (millions),Rating / Share (18-49)
The Bechelorette,8,82,10,"""The Men Tell All""","July 16, 2012",,7.16,2.2/6
The Bechelorette,8,83,11,"""Week 10""","July 22, 2012",810,8.86,3.1/9
The Bechelorette,8,84,12,"""After the Final Rose""","July 22, 2012",,8.8,3.1/8
The Bechelorette,9,85,1,"""Week 1: Limo Arrivals""","May 27, 2013",901,5.99,1.9/5
The Bechelorette,9,86,2,"""Week 2: Hollywood""","June 3, 2013",902,5.69,1.7/5
The Bechelorette,9,87,3,"""Week 3: Dodgeball""","June 10, 2013",903,5.76,1.8/5
The Bechelorette,9,88,4,"""Week 4: Atlantic City""","June 17, 2013",904,5.47,1.7/5
The Bechelorette,9,89,5,"""Week 5: Bavaria""","June 24, 2013",905,6.56,2.0/6
The Bechelorette,9,90,6,"""Week 6: Barcelona""","July 1, 2013",906,6.34,1.8/6
The Bechelorette,9,91,7,"""Week 7: Madeira Island""","July 8, 2013",907,6.88,1.9/6
The Bechelorette,9,92,8,"""Week 8: Hometown Dates""","July 15, 2013",908,6.63,1.8/6
The Bechelorette,9,93,9,"""The Men Tell All""","July 22, 2013",,6.52,1.9/6
The Bechelorette,9,94,10,"""Week 9: Season Finale, Part 1""","July 29, 2013",909,7.94,2.4/7
The Bechelorette,9,95,11,"""Week 10: Season Finale, Part 2""","August 5, 2013",910,8.94,2.6/8
The Bechelorette,9,96,12,"""After the Final Rose""","August 5, 2013",,8.31,2.5/7
The Bechelorette,10,97,1,"""Week 1: Limo Arrivals""","May 19, 2014",1001,7.17,2.0/6
The Bechelorette,10,98,2,"""Week 2: Male Revue Charity Event""","May 26, 2014",1002,6.03,1.6/5
The Bechelorette,10,99,3,"""Week 3: Santa Barbara""","June 1, 2014",1003,5.02,1.4/4
The Bechelorette,10,100,4,"""Week 4: Connecticut""","June 2, 2014",1004,6.74,1.8/6
The Bechelorette,10,101,5,"""The Journey So Far""","June 9, 2014",,4.48,1.0/4
The Bechelorette,10,102,6,"""Week 5: Marseille, France""","June 16, 2014",1005,6.5,1.7/5
The Bechelorette,10,103,7,"""Week 6: Venice, Italy""","June 23, 2014",1007,6.05,1.5/5
The Bechelorette,10,104,8,"""Week 7: Belgium""","June 30, 2014",1007,6.48,1.6/6
The Bechelorette,10,105,9,"""Week 8: Hometown Dates""","July 7, 2014",1008,6.99,1.8/6
The Bechelorette,10,106,10,"""Week 9: Dominican Republic (Overnight Dates)""","July 14, 2014",1009,6.91,1.7/5
The Bechelorette,10,107,11,"""The Men Tell All""","July 21, 2014",TBA,7.09,1.8/6
The Bechelorette,10,108,12,"""Week 10: Dominican Republic (Season Finale)""","July 28, 2014",1010,8,2.0/7
The Bechelorette,10,109,13,"""After the Final Rose""","July 28, 2014",,8.15,2.1/6
The Bechelorette,11,110,1,"""Week 1, Part 1: Limo Arrivals""","May 18, 2015",1101A,7.1,2.1/7
The Bechelorette,11,111,2,"""Week 1, Part 2: The New Bachelorette""","May 19, 2015",1101B,7.09,1.9/7
The Bechelorette,11,112,3,"""Week 2: Boxing with Laila Ali, Stand-Up Comedy with Amy Schumer""","May 25, 2015",1102,5.37,1.6/5
The Bechelorette,11,113,4,"""Week 3: Sumo Wrestling, Sex Education and Clint & JJ's Bromance""","June 1, 2015",1103,6.52,1.9/6
The Bechelorette,11,114,5,"""Week 4: New York City - Rap Battle with Doug E. Fresh, Aladdin on Broadway""","June 8, 2015",1104,6.37,1.8/6
The Bechelorette,11,115,6,"""Week 5: San Antonio, TX - Dance Contest, Mariachi, River Walk Kayaking""","June 15, 2015",1105,6.29,1.8/6
The Bechelorette,11,116,7,"""Week 6: Dublin - Kaitlyn's Irish Wake""","June 22, 2015",1106,6.64,2.0/7
The Bechelorette,11,117,8,"""Week 7: Dublin and Killarney""","June 29, 2015",1107,6.72,1.9/7
The Bechelorette,11,118,9,"""Week 8: Overnight Dates Begin""","July 6, 2015",1108,7.05,2.0/7
The Bechelorette,11,119,10,"""Week 9: Overnight Dates & Meeting the Families""","July 13, 2015",1109,6.96,1.9/7
The Bechelorette,11,120,11,"""The Men Tell All""","July 20, 2015",,6.97,1.9/7
The Bechelorette,11,121,12,"""Week 10: The Bachelorette Finale 2015""","July 27, 2015",1110,8.13,2.5/9
The Bechelorette,11,122,13,"""After the Final Rose""","July 27, 2015",,7.94,2.3/8
The Bechelorette,12,123,1,"""Week 1: Season Premiere""","May 23, 2016",1201,6.63,2.0/7
The Bechelorette,12,124,2,"""Week 2: ESPN's BachelorNation""","May 30, 2016",1202,5.94,1.6/5
The Bechelorette,12,125,3,"""Week 3, Pt.1: Sex Talk""","June 6, 2016",1203,6.9,2.0/7
The Bechelorette,12,126,4,"""Week 3, Pt.2: Pennsylvania""","June 7, 2016",1204,6.77,2.0/8
The Bechelorette,12,127,5,"""Week 4: Uruguay""","June 20, 2016",1205,7.05,2.1/8
The Bechelorette,12,128,6,"""Week 5: Buenos Aires""","June 27, 2016",1206,6.85,2.0/7
The Bechelorette,12,129,7,"""Week 6: Argentina Countryside""","July 11, 2016",1207,6.86,1.9/7
The Bechelorette,12,130,8,"""Week 7: Hometown Dates""","July 18, 2016",1208,6.72,1.9/7
The Bechelorette,12,131,9,"""Week 8: Thailand""","July 25, 2016",1209,6.38,1.9/7
The Bechelorette,12,132,10,"""The Men Tell All""","July 26, 2016",,5.14,1.4/5
The Bechelorette,12,133,11,"""Week 9: Season Finale""","August 1, 2016",1210,8.57,2.5/9
The Bechelorette,12,134,12,"""After the Final Rose""","August 1, 2016",,8.1,2.3/9
The Bechelorette,13,135,1,"""Week 1: Season Premiere""","May 22, 2017",1301,5.66,1.8/6
The Bechelorette,13,136,2,"""Week 2: Celebrity Guests""","May 29, 2017",1302,5.68,1.5/6
The Bechelorette,13,137,3,"""Week 3: Ellen DeGeneres & More""","June 5, 2017",1303,6.04,1.7/6
The Bechelorette,13,138,4,"""Week 4: Hilton Head Island""","June 19, 2017",1304,5.9,1.6/6
The Bechelorette,13,139,5,"""Week 5: Part 1""","June 26, 2017",1305,5.39,1.4/6
The Bechelorette,13,140,6,"""Week 5: Part 2""","June 27, 2017",1306,4.51,1.2/5
The Bechelorette,13,141,7,"""Week 6: Switzerland""","July 10, 2017",1307,5.68,1.4/6
The Bechelorette,13,142,8,"""Week 7: Hometown Dates""","July 17, 2017",1308,6.21,1.6/7
The Bechelorette,13,143,9,"""Week 8: Spain""","July 24, 2017",1309,6.43,1.6/7
The Bechelorette,13,144,10,"""The Men Tell All""","July 31, 2017",,5.76,1.5/6
The Bechelorette,13,145,11,"""Week 9: Season 13 Finale""","August 7, 2017",1310,7.57,2.1/8
The Bechelorette,14,146,1,"""Week 1: Season Premiere""","May 28, 2018",1401,5.5,1.4/5
The Bechelorette,14,147,2,"""Week 2""","June 4, 2018",1402,5.81,1.6/7
The Bechelorette,14,148,3,"""Week 3""","June 11, 2018",1403,5.49,1.4/6
The Bechelorette,14,149,4,"""Week 4""","June 18, 2018",1404,5.7,1.4/6
The Bechelorette,14,150,5,"""Week 5""","June 25, 2018",1405,5.78,1.4/6
The Bechelorette,14,151,6,"""Week 6""","July 2, 2018",1406,5.3,1.2/6
The Bechelorette,14,152,7,"""Week 7""","July 9, 2018",1407,5.68,1.4/6
The Bechelorette,14,153,8,"""Week 8""","July 16, 2018",1408,6.31,1.6/7
The Bechelorette,14,154,9,"""Week 9""","July 23, 2018",1409,5.91,1.4/6
The Bechelorette,14,155,10,"""The Men Tell All""","July 30, 2018",,5.47,1.3/5
The Bechelorette,14,156,11,"""Week 10: Season 14 Finale""","August 6, 2018",1410,6.71,1.8/9
The Bechelorette,15,157,1,"""Week 1: Season Premiere""","May 13, 2019",1501,4.78,1.4/6
The Bechelorette,15,158,2,"""Week 2""","May 20, 2019",1502,4.52,1.2/5
The Bechelorette,15,159,3,"""Week 3""","May 27, 2019",1503,4.67,1.1/5
The Bechelorette,15,160,4,"""Week 4""","June 3, 2019",1504,5.51,1.5/7
The Bechelorette,15,161,5,"""Week 5""","June 11, 2019",1505,4.75,1.3/7
The Bechelorette,15,162,6,"""Week 5, Part 2 and The Journey So Far""","June 17, 2019",1505B,5.53,1.5/7
The Bechelorette,15,163,7,"""Week 6""","June 24, 2019",1506,5.72,1.5/7
The Bechelorette,15,164,8,"""Week 7""","July 1, 2019",1507,5.71,1.5/8
The Bechelorette,15,165,9,"""Week 8""","July 8, 2019",1508,6.04,1.5/8
The Bechelorette,15,166,10,"""Week 9""","July 15, 2019",1509,6.46,1.7/8
The Bechelorette,15,167,11,"""The Men Tell All""","July 22, 2019",,6.6,1.7/8
The Bechelorette,15,168,12,"""Week 10: Season Finale""","July 29, 2019",1510,7.22,1.9/9
The Bechelorette,15,169,13,"""After the Final Rose""","July 30, 2019",1510B,7.48,2.1/10
